clusterNum	maxK	pItem	pFeature	clusterAlg	distance	avg_silhouette_width
4	5	0.9	0.8	pam	binary	0.97598136
4	7	0.9	1	hc	binary	0.975963083
4	6	0.9	0.9	hc	binary	0.975959319
4	6	0.9	0.7	pam	binary	0.975900044
4	5	0.9	1	hc	binary	0.975899748
4	5	0.9	1	pam	binary	0.975890965
4	5	0.9	0.6	pam	binary	0.975810598
4	6	0.9	0.7	hc	binary	0.975762997
4	7	0.9	1	pam	binary	0.975605026
4	6	0.9	0.5	pam	binary	0.975587175
4	7	0.9	0.6	pam	binary	0.975559165
4	7	0.9	0.6	hc	binary	0.975502248
4	5	0.9	0.6	hc	binary	0.975366442
4	6	0.8	0.6	hc	binary	0.97154593
4	5	0.8	0.7	hc	binary	0.971363421
4	6	0.8	0.6	pam	binary	0.971099108
4	5	0.8	0.5	pam	binary	0.971042397
4	7	0.8	0.9	pam	binary	0.971036522
4	7	0.8	0.7	hc	binary	0.970965272
4	5	0.8	0.7	pam	binary	0.970881228
4	5	0.8	0.9	pam	binary	0.970879739
4	6	0.8	1	hc	binary	0.970712028
4	6	0.8	1	pam	binary	0.970558056
4	6	0.8	0.8	pam	binary	0.970415632
4	7	0.8	0.5	hc	binary	0.970409352
4	5	0.8	0.9	hc	binary	0.970325832
4	7	0.8	0.9	hc	binary	0.970300539
4	7	0.8	0.7	pam	binary	0.970204532
4	5	0.8	0.5	hc	binary	0.970141873
4	6	0.8	0.8	hc	binary	0.969962473
4	7	0.8	0.5	pam	binary	0.968991381
4	5	0.7	1	pam	binary	0.965158208
4	5	0.7	1	hc	binary	0.964119284
4	6	0.7	0.7	hc	binary	0.964059617
4	6	0.7	0.5	hc	binary	0.964007885
4	6	0.7	0.9	hc	binary	0.963955168
4	6	0.7	0.7	pam	binary	0.963705349
4	5	0.7	0.8	pam	binary	0.963618319
4	7	0.7	0.8	pam	binary	0.963531682
4	7	0.7	0.8	hc	binary	0.963384754
4	7	0.7	1	pam	binary	0.963367095
4	7	0.7	1	hc	binary	0.963310501
4	6	0.7	0.9	pam	binary	0.963214805
4	7	0.7	0.6	hc	binary	0.963210015
4	6	0.7	0.5	pam	binary	0.96311231
4	7	0.7	0.6	pam	binary	0.962891252
4	5	0.7	0.6	hc	binary	0.962851213
4	5	0.7	0.6	pam	binary	0.962814982
4	5	0.7	0.8	hc	binary	0.962489912
4	6	0.6	0.6	pam	binary	0.954780313
